CB,shift,role,tier,loc,campus,date,time
CB001,20260518_5,CBCT,JUNIOR,NEAR_CS1,1,2026-05-18,18g15
CB001,20260525_5,CBCT,JUNIOR,NEAR_CS1,1,2026-05-25,18g15
CB001,20260530_2,CBCT,JUNIOR,NEAR_CS1,1,2026-05-30,09g30
CB001,20260530_3,CBCT,JUNIOR,NEAR_CS1,1,2026-05-30,13g00
CB001,20260531_2,CBCT,JUNIOR,NEAR_CS1,1,2026-05-31,09g30
CB001,20260531_3,CBCT,JUNIOR,NEAR_CS1,1,2026-05-31,13g00
CB001,20260605_2,CBCT,JUNIOR,NEAR_CS1,1,2026-06-05,09g30
CB001,20260605_3,CBCT,JUNIOR,NEAR_CS1,1,2026-06-05,13g00
CB001,20260605_4,CBCT,JUNIOR,NEAR_CS1,1,2026-06-05,15g30
CB001,20260608_3,CBCT,JUNIOR,NEAR_CS1,1,2026-06-08,13g00
CB001,20260613_1,CBCT,JUNIOR,NEAR_CS1,1,2026-06-13,07g00
CB002,20260518_5,CBCT,JUNIOR,NEAR_CS1,1,2026-05-18,18g15
CB002,20260522_5,CBCT,JUNIOR,NEAR_CS1,1,2026-05-22,18g15
CB002,20260523_3,CBCT,JUNIOR,NEAR_CS1,1,2026-05-23,13g00
CB002,20260525_5,CBCT,JUNIOR,NEAR_CS1,1,2026-05-25,18g15
CB002,20260527_5,CBCT,JUNIOR,NEAR_CS1,1,2026-05-27,18g15
CB002,20260530_3,CBCT,JUNIOR,NEAR_CS1,1,2026-05-30,13g00
CB002,20260531_2,CBCT,JUNIOR,NEAR_CS1,1,2026-05-31,09g30
CB002,20260602_5,CBCT,JUNIOR,NEAR_CS1,1,2026-06-02,18g15
CB002,20260608_2,CBCT,JUNIOR,NEAR_CS1,1,2026-06-08,09g30
CB002,20260608_3,CBCT,JUNIOR,NEAR_CS1,1,2026-06-08,13g00
CB002,20260613_1,CBCT,JUNIOR,NEAR_CS1,1,2026-06-13,07g00
CB003,20260519_5,CBCT,JUNIOR,BALANCED,1,2026-05-19,18g15
CB003,20260523_3,CBCT,JUNIOR,BALANCED,1,2026-05-23,13g00
CB003,20260526_5,CBCT,JUNIOR,BALANCED,1,2026-05-26,18g15
CB003,20260527_5,CBCT,JUNIOR,BALANCED,1,2026-05-27,18g15
CB003,20260601_2,CBCT,JUNIOR,BALANCED,2,2026-06-01,09g30
CB003,20260603_1,CBCT,JUNIOR,BALANCED,2,2026-06-03,07g00
CB003,20260603_2,CBCT,JUNIOR,BALANCED,2,2026-06-03,09g30
CB003,20260603_4,CBCT,JUNIOR,BALANCED,2,2026-06-03,15g30
CB003,20260608_2,CBCT,JUNIOR,BALANCED,1,2026-06-08,09g30
CB003,20260612_4,CBCT,JUNIOR,BALANCED,1,2026-06-12,15g30
CB003,20260613_3,CBCT,JUNIOR,BALANCED,2,2026-06-13,13g00
CB004,20260519_5,CBCT,JUNIOR,NEAR_CS1,1,2026-05-19,18g15
CB004,20260521_5,CBCT,JUNIOR,NEAR_CS1,1,2026-05-21,18g15
CB004,20260523_3,CBCT,JUNIOR,NEAR_CS1,1,2026-05-23,13g00
CB004,20260525_5,CBCT,JUNIOR,NEAR_CS1,1,2026-05-25,18g15
CB004,20260529_5,CBCT,JUNIOR,NEAR_CS1,1,2026-05-29,18g15
CB004,20260530_2,CBCT,JUNIOR,NEAR_CS1,1,2026-05-30,09g30
CB004,20260605_4,CBCT,JUNIOR,NEAR_CS1,1,2026-06-05,15g30
CB004,20260608_2,CBCT,JUNIOR,NEAR_CS1,1,2026-06-08,09g30
CB004,20260608_3,CBCT,JUNIOR,NEAR_CS1,1,2026-06-08,13g00
CB004,20260608_4,CBCT,JUNIOR,NEAR_CS1,1,2026-06-08,15g30
CB004,20260612_3,CBCT,JUNIOR,NEAR_CS1,1,2026-06-12,13g00
CB005,20260523_3,CBCT,MID,BALANCED,1,2026-05-23,13g00
CB005,20260526_5,CBCT,MID,BALANCED,1,2026-05-26,18g15
CB005,20260528_5,CBCT,MID,BALANCED,1,2026-05-28,18g15
CB005,20260601_5,CBCT,MID,BALANCED,1,2026-06-01,18g15
CB005,20260608_3,CBCT,MID,BALANCED,1,2026-06-08,13g00
CB005,20260610_3,CBCT,MID,BALANCED,2,2026-06-10,13g00
CB005,20260612_4,CBCT,MID,BALANCED,1,2026-06-12,15g30
CB005,20260613_2,CBCT,MID,BALANCED,2,2026-06-13,09g30
CB005,20260613_3,CBCT,MID,BALANCED,2,2026-06-13,13g00
CB005,20260613_4,CBCT,MID,BALANCED,2,2026-06-13,15g30
CB006,20260529_1,CBCT,MID,BALANCED,2,2026-05-29,07g00
CB006,20260531_2,CBCT,MID,BALANCED,1,2026-05-31,09g30
CB006,20260601_2,CBCT,MID,BALANCED,2,2026-06-01,09g30
CB006,20260603_2,CBCT,MID,BALANCED,2,2026-06-03,09g30
CB006,20260608_2,CBCT,MID,BALANCED,1,2026-06-08,09g30
CB006,20260608_3,CBCT,MID,BALANCED,1,2026-06-08,13g00
CB006,20260608_4,CBCT,MID,BALANCED,1,2026-06-08,15g30
CB006,20260609_3,CBCT,MID,BALANCED,2,2026-06-09,13g00
CB006,20260610_3,CBCT,MID,BALANCED,2,2026-06-10,13g00
CB006,20260612_1,CBCT,MID,BALANCED,1,2026-06-12,07g00
CB007,20260523_3,CBCT,MID,BALANCED,1,2026-05-23,13g00
CB007,20260528_3,TK,MID,BALANCED,2,2026-05-28,13g00
CB007,20260529_1,TK,MID,BALANCED,2,2026-05-29,07g00
CB007,20260602_2,CBCT,MID,BALANCED,2,2026-06-02,09g30
CB007,20260603_4,TK,MID,BALANCED,2,2026-06-03,15g30
CB007,20260608_2,CBCT,MID,BALANCED,1,2026-06-08,09g30
CB007,20260608_3,CBCT,MID,BALANCED,1,2026-06-08,13g00
CB007,20260609_2,CBCT,MID,BALANCED,2,2026-06-09,09g30
CB007,20260611_3,CBCT,MID,BALANCED,2,2026-06-11,13g00
CB007,20260613_4,CBCT,MID,BALANCED,2,2026-06-13,15g30
CB008,20260529_1,CBCT,JUNIOR,BALANCED,2,2026-05-29,07g00
CB008,20260601_2,CBCT,JUNIOR,BALANCED,2,2026-06-01,09g30
CB008,20260603_1,CBCT,JUNIOR,BALANCED,2,2026-06-03,07g00
CB008,20260603_2,CBCT,JUNIOR,BALANCED,2,2026-06-03,09g30
CB008,20260604_1,CBCT,JUNIOR,BALANCED,2,2026-06-04,07g00
CB008,20260609_2,CBCT,JUNIOR,BALANCED,2,2026-06-09,09g30
CB008,20260610_1,CBCT,JUNIOR,BALANCED,2,2026-06-10,07g00
CB008,20260612_1,CBCT,JUNIOR,BALANCED,1,2026-06-12,07g00
CB008,20260612_3,CBCT,JUNIOR,BALANCED,1,2026-06-12,13g00
CB008,20260612_4,CBCT,JUNIOR,BALANCED,1,2026-06-12,15g30
CB008,20260613_2,CBCT,JUNIOR,BALANCED,2,2026-06-13,09g30
CB009,20260525_2,CBCT,JUNIOR,BALANCED,2,2026-05-25,09g30
CB009,20260601_3,CBCT,JUNIOR,BALANCED,2,2026-06-01,13g00
CB009,20260603_1,CBCT,JUNIOR,BALANCED,2,2026-06-03,07g00
CB009,20260605_2,CBCT,JUNIOR,BALANCED,1,2026-06-05,09g30
CB009,20260609_2,CBCT,JUNIOR,BALANCED,2,2026-06-09,09g30
CB009,20260609_3,CBCT,JUNIOR,BALANCED,2,2026-06-09,13g00
CB009,20260610_3,CBCT,JUNIOR,BALANCED,2,2026-06-10,13g00
CB009,20260612_1,CBCT,JUNIOR,BALANCED,1,2026-06-12,07g00
CB009,20260612_3,CBCT,JUNIOR,BALANCED,1,2026-06-12,13g00
CB009,20260612_4,CBCT,JUNIOR,BALANCED,1,2026-06-12,15g30
CB009,20260613_4,CBCT,JUNIOR,BALANCED,2,2026-06-13,15g30
CB010,20260528_3,CHAIR,SENIOR,BALANCED,2,2026-05-28,13g00
CB010,20260528_4,CHAIR,SENIOR,BALANCED,1,2026-05-28,15g30
CB010,20260528_5,CHAIR,SENIOR,BALANCED,1,2026-05-28,18g15
CB010,20260601_2,CHAIR,SENIOR,BALANCED,2,2026-06-01,09g30
CB010,20260602_4,CHAIR,SENIOR,BALANCED,2,2026-06-02,15g30
CB010,20260612_3,CBCT,SENIOR,BALANCED,1,2026-06-12,13g00
