constraint,item,required,actual,status
H1 Demand,"shift=20260518_5, role=CBCT",2,2,PASS
H1 Demand,"shift=20260518_5, role=TK",0,0,PASS
H1 Demand,"shift=20260518_5, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260519_5, role=CBCT",3,3,PASS
H1 Demand,"shift=20260519_5, role=TK",0,0,PASS
H1 Demand,"shift=20260519_5, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260521_5, role=CBCT",2,2,PASS
H1 Demand,"shift=20260521_5, role=TK",0,0,PASS
H1 Demand,"shift=20260521_5, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260522_5, role=CBCT",2,2,PASS
H1 Demand,"shift=20260522_5, role=TK",0,0,PASS
H1 Demand,"shift=20260522_5, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260523_3, role=CBCT",6,6,PASS
H1 Demand,"shift=20260523_3, role=TK",0,0,PASS
H1 Demand,"shift=20260523_3, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260525_2, role=CBCT",16,16,PASS
H1 Demand,"shift=20260525_2, role=TK",1,1,PASS
H1 Demand,"shift=20260525_2, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260525_5, role=CBCT",3,3,PASS
H1 Demand,"shift=20260525_5, role=TK",0,0,PASS
H1 Demand,"shift=20260525_5, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260526_5, role=CBCT",2,2,PASS
H1 Demand,"shift=20260526_5, role=TK",0,0,PASS
H1 Demand,"shift=20260526_5, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260527_2, role=CBCT",0,0,PASS
H1 Demand,"shift=20260527_2, role=TK",2,2,PASS
H1 Demand,"shift=20260527_2, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260527_4, role=CBCT",0,0,PASS
H1 Demand,"shift=20260527_4, role=TK",0,0,PASS
H1 Demand,"shift=20260527_4, role=CHAIR",1,1,PASS
H1 Demand,"shift=20260527_5, role=CBCT",3,3,PASS
H1 Demand,"shift=20260527_5, role=TK",0,0,PASS
H1 Demand,"shift=20260527_5, role=CHAIR",1,1,PASS
H1 Demand,"shift=20260528_1, role=CBCT",0,0,PASS
H1 Demand,"shift=20260528_1, role=TK",0,0,PASS
H1 Demand,"shift=20260528_1, role=CHAIR",1,1,PASS
H1 Demand,"shift=20260528_2, role=CBCT",0,0,PASS
H1 Demand,"shift=20260528_2, role=TK",0,0,PASS
H1 Demand,"shift=20260528_2, role=CHAIR",1,1,PASS
H1 Demand,"shift=20260528_3, role=CBCT",12,12,PASS
H1 Demand,"shift=20260528_3, role=TK",2,2,PASS
H1 Demand,"shift=20260528_3, role=CHAIR",1,1,PASS
H1 Demand,"shift=20260528_4, role=CBCT",0,0,PASS
H1 Demand,"shift=20260528_4, role=TK",0,0,PASS
H1 Demand,"shift=20260528_4, role=CHAIR",1,1,PASS
H1 Demand,"shift=20260528_5, role=CBCT",2,2,PASS
H1 Demand,"shift=20260528_5, role=TK",0,0,PASS
H1 Demand,"shift=20260528_5, role=CHAIR",1,1,PASS
H1 Demand,"shift=20260529_1, role=CBCT",30,30,PASS
H1 Demand,"shift=20260529_1, role=TK",1,1,PASS
H1 Demand,"shift=20260529_1, role=CHAIR",1,1,PASS
H1 Demand,"shift=20260529_2, role=CBCT",0,0,PASS
H1 Demand,"shift=20260529_2, role=TK",0,0,PASS
H1 Demand,"shift=20260529_2, role=CHAIR",1,1,PASS
H1 Demand,"shift=20260529_3, role=CBCT",0,0,PASS
H1 Demand,"shift=20260529_3, role=TK",0,0,PASS
H1 Demand,"shift=20260529_3, role=CHAIR",1,1,PASS
H1 Demand,"shift=20260529_5, role=CBCT",3,3,PASS
H1 Demand,"shift=20260529_5, role=TK",0,0,PASS
H1 Demand,"shift=20260529_5, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260530_2, role=CBCT",4,4,PASS
H1 Demand,"shift=20260530_2, role=TK",0,0,PASS
H1 Demand,"shift=20260530_2, role=CHAIR",0,0,PASS
H1 Demand,"shift=20260530_3, role=CBCT",4,4,PASS
H1 Demand,"shift=20260530_3, role=TK",0,0,PASS
